,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17
DAI,-0.0003052032962048701,-0.0002607248982287036,0.00041773177890269686,-0.0002326666764996821,-0.0006645407136079973,0.0006003850931168841,1.0584531776824946e-05,-3.149757934617359e-05,-0.001296307322003587,0.00015221036244361663,0.0021296007644293624,-0.00012967057557700112,-0.000893812985882092,-0.0002522151995379973,0.0006821207338736368,-0.0005532012336175729,-0.00029385973510265284,0.000976976053233436,0.00018804094517510528,0.0002738245049185295,-0.0008107429785876308,0.00012536751713709826,-0.0012824867912404336,0.0009675476709354314,-0.0008438504017190818,0.002179757197245502,7.379976201349336e-05,-0.0008184388073265714,-9.714186827691762e-05,-0.00015197560078372696
UNI,-0.016263968460432987,-0.021670328932742677,-0.000891408417888484,-0.06389287283757139,-0.05507396133891551,-0.003238045491795294,-0.04419651606859898,-0.03673566372457937,0.011609807181950593,-0.0029808612164332615,0.022759874136448754,-0.008738408109996487,-0.0014269561491384586,0.07151107408634871,0.012709157337663646,-0.023995963909267504,0.02267302329235843,-0.01909948412619622,0.02316446990286858,-0.07000621885829861,0.02424968286953022,0.04570461248119684,-0.2901389023575254,0.03760197700431234,0.08526259523540003,0.015117578322191072,0.016108645679620448,-0.035109171857373944,-0.03918534620204628,-0.02485790396993115
APT,0.01462751998412637,-0.005732593649577344,0.0033333868668037336,-0.04896098659979353,-0.03133103804399451,0.004895862837339671,-0.031055777187980582,-0.052666474335458235,0.039703042686410006,0.00685382612685026,0.030321046699282705,-0.0030379691924233843,0.04102433200071087,0.10241951505776403,0.045405462362766436,0.06770526368597518,-0.014505494109577133,-0.0077206414765541576,-0.00025913902383045695,0.002274048918133431,-0.05157034249431802,0.002531319911825314,-0.20823441241158436,-0.10053948801290746,0.056970169015663874,-0.02965175639808504,-0.010812076230570455,-0.04882445613049047,-0.06848527717957043,-0.027604156323437934
ETC,-0.006191402022050818,-0.020595540017687153,-0.004236763910673402,-0.057916399055064405,-0.018835849421332318,0.01198801535048366,-0.0253947829260337,-0.023538660783861687,0.011756274679079803,-0.011223583153427752,0.02281893604551244,-0.0002744653997714952,-0.001947795623873927,0.0698014494048238,0.003891186085829279,-0.0034914095476358264,0.008425786547248348,-0.015239133731383525,0.022891935788301288,-0.046762321856115285,0.010504643104749078,0.05185606197119719,-0.2717692777009466,0.028035962466029574,0.10303455094754477,0.002287290050030588,0.0008049612611316093,-0.028577068908016146,-0.038726637964172306,-0.011009319086243252
MANTLE,0.02865525656184298,-0.042543086618203385,0.0023608808898409883,-0.10538753651480037,0.14941556681582857,0.04335609015424824,-0.07652104558230688,0.02193960367464154,0.02224860669854989,0.005468272658680551,0.003645591286404626,0.06392093768978735,-0.02393974877718774,0.06337344610949214,0.016727797513526488,-0.008440261845764852,0.022209507842120946,0.06055179674319611,0.09751296052375702,0.011247034332587669,0.18934737157214143,-0.16068643101959457,-0.2419502083205749,-0.07266097434685082,0.2474431569338722,-0.00751726205274772,-0.05608830605850934,-0.033767936386202124,-0.0889455772388077,-0.027443301815871624
RNDR,0.0011399301377519322,-0.01455520906745078,0.017257377813062247,-0.056985468613846235,-0.046996624937108766,0.00441223900457155,-0.03208701754156129,-0.04359876314350353,0.019824031945921083,-0.026937675137221895,0.02429821669446275,-0.009298025344210203,-0.011067558339437733,0.08009590177123038,-0.004808882589360408,-0.012099956325181793,0.008759684121687483,-0.022937340047792132,0.025628706255728773,-0.06973608478521576,-0.007330717771160122,-0.011178316314956915,-0.24645983850457354,-0.030672296316298864,0.17086200703910204,0.03463210181009346,-0.019002289180007126,-0.046403967180222994,-0.06609859873068868,-0.021348870544033005
HBAR,0.006561396840776501,-0.008323001552276832,-0.0020004329302940604,-0.0780355933149498,-0.011956240402642648,0.010214977144723969,-0.03597277639773022,-0.03576679561435869,0.03105661903679091,-0.013868353661166344,0.019905354923719587,0.0022679088566599503,-0.012089976109095346,0.06318249620790706,-0.005705695411982181,-0.007984761013905994,-0.007851939663810814,-0.01770506341984246,0.05152416514278424,-0.057347392141818276,-0.006803242524735964,0.0028947139797177446,-0.2166556244833927,0.014566247654129727,0.07883666462665162,0.0014133067780730535,0.019645834725749545,-0.051612280760478635,-0.04865869436165371,-0.03135417326958556
FIL,-0.003820633089774317,-0.0340040378557549,-0.0037963288963822617,-0.05584946467870666,-0.03307609946600698,0.007541617790602695,-0.02486587231823112,-0.03128582143127512,0.02523658982643817,-0.015256371558511339,0.014976475413638335,0.004807169947004253,-0.00652483970132256,0.0688923625986011,0.0022377233503876326,0.011090844738528949,0.0016710571938853835,-0.017776040767161216,0.030547761403639795,-0.056758513260293575,0.02125267728462843,0.030772082047549887,-0.2894483773740927,-0.0837893043645297,0.0509039636192028,0.008524850523707217,0.013480189324666991,-0.046235593884424664,-0.06603272522750037,-0.0015904242130131419
ATOM,0.010288831117606145,-0.033252301048062205,0.0028215879543200817,-0.057947712004709606,-0.01969693449347243,0.008249374343880955,-0.01847930191999525,-0.022242084653186667,0.022089031759473743,-0.012457710372769992,0.017558357666294766,-0.011487742911126753,0.008694680995420034,0.023815113735126348,0.004331245880416779,-0.0028274232694290857,-0.003435334436072246,-0.012775799389346365,0.027526487817367773,-0.053071298110454745,0.011355209756629181,-0.0008491643490944334,-0.232062355161058,0.01712415346444729,0.09001331355617959,-0.004181056567281405,0.00022504490116403986,-0.034328983360143006,-0.03413560028939677,-0.014854313308962253
ARB,-0.0015191020453840798,-0.04481653372839334,0.0044276597726689015,-0.08077427971350293,-0.06548048541247675,0.02568593286915255,-0.03429198570896563,-0.03235883014712826,0.04005239344828415,-0.016870435932910377,0.0092555742631939,-0.020933199829661464,0.01757223794706686,0.05028039419720498,0.010349412781156309,-0.008085081863753563,0.009634234794794194,-0.02855830493215572,0.05650136691185459,-0.08679899069993646,0.019262692117185676,0.00018444042975840347,-0.2753745854606985,-0.0032771502495171356,0.07457028836176427,0.01505328004083295,0.019391901278092538,-0.04948466488066594,-0.04506340771946482,-0.016102946808255747
